origin,destination,lat origin,long origin,lat destination,long destination
Tirana,Tirana,41.3268733,19.8187913,41.3268733,19.8187913
Tirana,Linz,41.3268733,19.8187913,48.3059078,14.286198
Tirana,Vienna,41.3268733,19.8187913,48.2083537,16.3725042
Tirana,Antwerpen,41.3268733,19.8187913,51.2211097,4.3997081
Tirana,Brussels,41.3268733,19.8187913,50.8465573,4.351697
Tirana,Gent,41.3268733,19.8187913,51.0538286,3.7250121
Tirana,Liege,41.3268733,19.8187913,50.6451381,5.5734203
Tirana,Sarajevo,41.3268733,19.8187913,43.8519774,18.3866868
Tirana,Sofia,41.3268733,19.8187913,42.6978634,23.3221789
Tirana,Zagreb,41.3268733,19.8187913,45.813177,15.977048
Tirana,Brno,41.3268733,19.8187913,49.1922443,16.6113382
Tirana,Prague,41.3268733,19.8187913,50.0874654,14.4212535
Tirana,Arhus,41.3268733,19.8187913,56.1496278,10.2134046
Tirana,Copenhagen,41.3268733,19.8187913,55.6867243,12.5700724
Tirana,Tallinn,41.3268733,19.8187913,59.4372155,24.7453688
Tirana,Helsinki,41.3268733,19.8187913,60.1674098,24.9425769
Tirana,Bordeaux,41.3268733,19.8187913,44.841225,-0.5800364
Tirana,Grenoble,41.3268733,19.8187913,45.1875602,5.7357819
Tirana,Lille,41.3268733,19.8187913,50.6365654,3.0635282
Tirana,Lyon,41.3268733,19.8187913,45.7578137,4.8320114
Tirana,Marseille,41.3268733,19.8187913,43.2961743,5.3699525
Tirana,Montpellier,41.3268733,19.8187913,43.6112422,3.8767337
Tirana,Nantes,41.3268733,19.8187913,47.2186371,-1.5541362
Tirana,Nice,41.3268733,19.8187913,43.7009358,7.2683912
Tirana,Paris,41.3268733,19.8187913,48.8566969,2.3514616
Tirana,Rennes,41.3268733,19.8187913,48.1113387,-1.6800198
Tirana,Strasbourg,41.3268733,19.8187913,48.584614,7.7507127
Tirana,Toulon,41.3268733,19.8187913,43.1257311,5.9304919
Tirana,Toulouse,41.3268733,19.8187913,43.6044622,1.4442469
Tirana,Aachen,41.3268733,19.8187913,50.776351,6.083862
Tirana,Berlin,41.3268733,19.8187913,52.5170365,13.3888599
Tirana,Bremen,41.3268733,19.8187913,53.0758196,8.8071646
Tirana,Dresden,41.3268733,19.8187913,51.0493286,13.7381437
Tirana,Dusseldorf,41.3268733,19.8187913,51.2254018,6.7763137
Tirana,Frankfurt Am Main,41.3268733,19.8187913,50.1106444,8.6820917
Tirana,Hamburg,41.3268733,19.8187913,53.543766,10.009915
Tirana,Hannover,41.3268733,19.8187913,52.379097,9.742982
Tirana,Karlsruhe,41.3268733,19.8187913,49.0068725,8.403475
Tirana,Kiel,41.3268733,19.8187913,54.3227085,10.135555
Tirana,Cologne,41.3268733,19.8187913,50.938361,6.959974
Tirana,Leipzig,41.3268733,19.8187913,51.3406321,12.3747329
Tirana,Mannheim,41.3268733,19.8187913,49.489591,8.467236
Tirana,Munich,41.3268733,19.8187913,48.1371079,11.5753822
Tirana,Ruhrgebiet (Essen),41.3268733,19.8187913,51.4118742,7.025698
Tirana,Saarbrucken,41.3268733,19.8187913,49.234362,6.996379
Tirana,Stuttgart,41.3268733,19.8187913,48.7784485,9.1800132
Tirana,Athens,41.3268733,19.8187913,37.9839412,23.7283052
Tirana,Thessaloniki,41.3268733,19.8187913,40.6403167,22.9352716
Tirana,Budapest,41.3268733,19.8187913,47.4983815,19.0404707
Tirana,Bari,41.3268733,19.8187913,41.1257843,16.8620293
Tirana,Bologna,41.3268733,19.8187913,44.4936714,11.3430347
Tirana,Brescia,41.3268733,19.8187913,45.539841,10.22296
Tirana,Catania,41.3268733,19.8187913,37.5022355,15.08738
Tirana,Florence,41.3268733,19.8187913,43.7698712,11.2555757
Tirana,Genoa,41.3268733,19.8187913,44.40726,8.9338624
Tirana,Milano,41.3268733,19.8187913,45.4668,9.1905
Tirana,Napoli,41.3268733,19.8187913,40.8359336,14.2487826
Tirana,Palermo,41.3268733,19.8187913,38.1112268,13.3524434
Tirana,Rome,41.3268733,19.8187913,41.8933203,12.4829321
Tirana,Turin,41.3268733,19.8187913,45.0677551,7.6824892
Tirana,Venice,41.3268733,19.8187913,45.43876,12.327145
Tirana,Verona,41.3268733,19.8187913,45.4384958,10.9924122
